MemTotal:        3740024 kB
MemFree:          395920 kB
MemAvailable:    1026232 kB
Buffers:           27128 kB
Cached:           929756 kB
SwapCached:         6952 kB
Active:          1827504 kB
Inactive:        1150700 kB
Active(anon):    1572024 kB
Inactive(anon):   610316 kB
Active(file):     255480 kB
Inactive(file):   540384 kB
Unevictable:       36000 kB
Mlocked:              48 kB
SwapTotal:       4278268 kB
SwapFree:        4267700 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:              1776 kB
Writeback:             0 kB
AnonPages:       2050440 kB
Mapped:           459452 kB
Shmem:            161020 kB
KReclaimable:      73872 kB
Slab:             179020 kB
SReclaimable:      73872 kB
SUnreclaim:       105148 kB
KernelStack:       13632 kB
PageTables:        34564 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     6148280 kB
Committed_AS:    7203876 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       36812 kB
VmallocChunk:          0 kB
Percpu:             3424 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
Unaccepted:            0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      199580 kB
DirectMap2M:     3721216 kB
